Date : 2025-08-03 16:13:29
Directory : c:\Users\111\Desktop\Main\JSReact\Final-Project-ReactJs
Total : 78 files,  15116 codes, 121 comments, 594 blanks, all 15831 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |         16 |     11,823 |          0 |          7 |     11,830 |
| JavaScript JSX |         21 |      1,809 |         66 |        267 |      2,142 |
| C#             |         21 |      1,222 |         54 |        288 |      1,564 |
| XML            |          9 |        100 |          0 |          6 |        106 |
| JavaScript     |          5 |         87 |          1 |         12 |        100 |
| Properties     |          1 |         27 |          0 |          1 |         28 |
| PostCSS        |          2 |         22 |          0 |          4 |         26 |
| HTML           |          1 |         13 |          0 |          1 |         14 |
| Markdown       |          1 |          7 |          0 |          6 |         13 |
| MS SQL         |          1 |          6 |          0 |          2 |          8 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                      |         78 |     15,116 |        121 |        594 |     15,831 |
| . (Files)                                                                                                                                              |          6 |      3,969 |          1 |         13 |      3,983 |
| NewsAppBecend                                                                                                                                          |         44 |      9,260 |         54 |        302 |      9,616 |
| NewsAppBecend (Files)                                                                                                                                  |          5 |         78 |          4 |         19 |        101 |
| NewsAppBecend\.vs                                                                                                                                      |          2 |        402 |          0 |          0 |        402 |
| NewsAppBecend\.vs\NewsAppBecend                                                                                                                        |          2 |        402 |          0 |          0 |        402 |
| NewsAppBecend\.vs\NewsAppBecend\v17                                                                                                                    |          2 |        402 |          0 |          0 |        402 |
| NewsAppBecend\Controllers                                                                                                                              |          5 |        477 |         12 |         89 |        578 |
| NewsAppBecend\Migrations                                                                                                                               |          7 |        625 |         16 |        163 |        804 |
| NewsAppBecend\Model                                                                                                                                    |          4 |         60 |          0 |         14 |         74 |
| NewsAppBecend\Model (Files)                                                                                                                            |          2 |         31 |          0 |          4 |         35 |
| NewsAppBecend\Model\DB                                                                                                                                 |          2 |         29 |          0 |         10 |         39 |
| NewsAppBecend\Properties                                                                                                                               |          1 |         41 |          0 |          1 |         42 |
| NewsAppBecend\bin                                                                                                                                      |          4 |      1,734 |          0 |          2 |      1,736 |
| NewsAppBecend\bin\Debug                                                                                                                                |          4 |      1,734 |          0 |          2 |      1,736 |
| NewsAppBecend\bin\Debug\net8.0                                                                                                                         |          4 |      1,734 |          0 |          2 |      1,736 |
| NewsAppBecend\obj                                                                                                                                      |         16 |      5,843 |         22 |         14 |      5,879 |
| NewsAppBecend\obj (Files)                                                                                                                              |          5 |      5,418 |          0 |          1 |      5,419 |
| NewsAppBecend\obj\Debug                                                                                                                                |         11 |        425 |         22 |         13 |        460 |
| NewsAppBecend\obj\Debug\net8.0                                                                                                                         |         11 |        425 |         22 |         13 |        460 |
| NewsAppBecend\obj\Debug\net8.0 (Files)                                                                                                                 |          8 |        416 |         22 |         13 |        451 |
| NewsAppBecend\obj\Debug\net8.0\staticwebassets                                                                                                         |          3 |          9 |          0 |          0 |          9 |
| public                                                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| src                                                                                                                                                    |         27 |      1,886 |         66 |        279 |      2,231 |
| src (Files)                                                                                                                                            |          4 |        256 |         20 |         55 |        331 |
| src\Componens                                                                                                                                          |         22 |      1,629 |         46 |        224 |      1,899 |
| src\Componens\First                                                                                                                                    |          2 |        207 |          7 |         36 |        250 |
| src\Componens\Items                                                                                                                                    |          6 |        564 |         25 |         73 |        662 |
